,ID,User Name,Text,Star
0,3901,Richyy Gonzalez,Very coming in real status. Thank you,1
1,3928,shradha baradiya,Okk kind but bad then brave,1
2,3970,Umesh Pandhare,App updated issue,1
3,3977,Ainiyyah official,Jelek..........?!!!!!!!!!!!!!!!!!,1
4,4113,Sohail Soomro,Good,1
5,4092,shayne andrew,Says update but wont this whole thing is like its not even google im lost,1
6,4088,Alex Lara,Fact and simple browse,2
7,4143,Md Rubel khan,Good,1
8,4164,George & Jodie Wood,Help,2
9,4185,Anol Sarker,Open my chrome app,1
10,5186,Ramsurat Ramsurat,Vinay,1
11,5217,Favour Nwaejikoma,It is the best app for browsing,1
12,5251,Rajesh Prabhu,Ok,1
13,5842,Vasava Govindbhai,Best,1
14,5844,Prem Kumar,Good,1
15,5847,harsh pandey,Nice,1
16,5859,Kuldeep Choudhary,"Drew,t",2
17,5885,Sabjan Sayd,Ghoul,1
18,5898,Silvestrs Aispurs,Cant update,1
19,5923,Thobani Kave,Good,1
20,5924,Mithleshkumar Mithleshkumar,Mithleshkumar,1
21,8524,Rachel Souza,Wont let me update,1
22,8531,Hina Nayka,Good,1
23,8537,SACHENDRA KUMAR,Good work is browser,2
24,8607,R Bisht,It's not update facing problem.,1
25,12599,sarika kumari,IT IS GOOD FOR GAMING,1
26,12618,Santosh wagh,Super,2
27,12635,M.Huzaifa Khalil,Nice app,2
28,12636,Vikram Deogam,Nic,1
29,20365,RaVen,Perfect app,2
30,20387,Scott T Freebird,Please collect information on yourselves and let me live and do as I wish without you feeling the need to know my every thought or action or reaction.. in other words don't be evil... Just do you boo,1
31,20396,Ashutosh Prasad,Lake,1
32,24318,Gordon Graham,"The update won't download, and from the other reviews it's probably a good thing!",1
33,24379,Raushan Singh bai drabad 8539,Nice,2
34,24391,Jove Regalario,Good,1
35,31574,edgardo apilado,Good serving,1
36,31589,qalab Abbas607607,Fresh,1
37,31600,Padma bc Padma,Nice,2
38,31602,Hayatudeen Rabiu,Excellent,1
39,31611,BHUWAN HANSDA,Good,2
40,31627,Donatus Nestory,Good,2
41,31662,Tammy Holley,It wont up date,1
42,36577,Idola Makele,Tak boleh update,1
43,36586,misty eyes,Do not like many issues it was ok before but recentlyit just wont work properly I,1
44,40301,ALVAN IHESIABA,Cool app,1
45,40334,Тимофей Макаров,.,1
46,40379,Lisa Koss,Works great when you're standing right be router!,2
47,47451,Roshan Krishna,Nice n fast,1
48,47475,꧁ʀɪᴢᴀ ɴᴜʀ ꜰᴀɪᴢᴀ꧂,jelek,1
49,47483,BALAJI INGALE,Good,1
50,48234,Daniel Lartey,we yet,1
51,48278,Edward Howell,Chrome keeps closing,1
52,48297,Amjad Khan,Along try,1
53,48298,Paula Walter,"Wont update, ever!",1
54,57420,Total Khaos,Wont update,1
55,57424,Troy Pellew,Nice,1
56,57436,ian mcguire,Keep trying to update but wont update.,1
57,57468,ghostdogg36,It tracks my search history.,2
58,57484,Robert Arp,"Still not allowing updates to this one app on Galaxy S20. Other apps update just fine... Come on Google, seriously? This is your very invasive OS, with your invasive permissions and applications, yet somehow you can't just update your browser program?",1
59,62111,Rosemary Solomons,Good,1
60,62115,Avnish babu Singh,Best app,1
61,68645,Amit Chaurasiya,KRishan Chatham,1
62,68691,Victoria Baffoe,Great,1
63,68702,Monty Graham,It spies on you.,2
64,69251,John Estrellanes,^_^ ^_^ <3,2
65,69273,Premdas Vaishnav,Good,1
66,69288,Bikram Basak,super,1
67,78724,Shubham Pal,Nice,1
68,78738,Penka Weezy,Is fast secure I love it,1
69,78752,Sonu Majhi,110 Aso SoNU,1
70,78759,Ana-lira Sweetie,Good,1
71,78771,KEN NAYLOR,Tells me to update then doesn't let me,1
72,87036,Vusimuzi Japhta Ngwenya,a,1
73,87049,Jorge Vela,C a,2
74,87071,Zizu Ahmed,Fine,1
75,87096,Kerry Boven,t Thanks again Vietta how's your car doing well I hope you have a great day and I will be able and willing to help you out with the next steps for me to do that we need to get the update on the status of the order I placed the order on your way back to the office I will send you my email address to use it for you if you need anything else from me please let me know what you need from me to get you a copy of the order I placed the right number for you to call for the next couple weeks so I'm goi.,1
76,87098,surya Lifestyle,Good,1
77,90442,Nyakueka Stephen,Best app ever,1
78,90446,Rabisankar Dey,The app is very working,2
79,90449,Himanshu Rawat,Nice app,2
80,90467,Pawan Shukla,Nice,1
81,90476,adam et riyad,Google ******,1
82,90485,Thinking Zone by Deepshikha,Computer,2
83,90501,Rashid Saidi,better than other apps,2
84,90513,Sao Sarak,Good,1
85,99838,ਕਰਨ ਰਾਏ,Please update my Google Chrome app Please help,1
86,99874,MHR Family,Yevt,1
87,99877,Wasif Ahmad,Its a fantastic app,2
88,99892,Amanda Durham,It wont update help!!!!,1
89,99906,Mohammad Akhavanfard,Great,1
90,99924,Omkarमत Khande,He is a good app,1
91,99931,Stefan Knowles,"Won't run crashes on startup, excellent testing there",1
92,102814,Rina Paul,Updated issue,1
93,102831,Dalsrang Sangma,Blue film,1
94,107631,aseel bired sal,Good,1
95,107716,Marygrace Loon,So good,1
96,107719,Mʀ. Lᴏᴄᴀʟ,Please update my chrome,1
97,113022,donnie bruce,It's what is expected .,1
98,113042,PRAMOD BARIK,Good,1
99,113075,A Google user,very very good app,2
100,119507,Zintle Nokrawuzana,Best app ever,1
